Date,Country,Confirmed,Recovered,Deaths
2020-01-22,Mongolia,0,0,0
2020-01-23,Mongolia,0,0,0
2020-01-24,Mongolia,0,0,0
2020-01-25,Mongolia,0,0,0
2020-01-26,Mongolia,0,0,0
2020-01-27,Mongolia,0,0,0
2020-01-28,Mongolia,0,0,0
2020-01-29,Mongolia,0,0,0
2020-01-30,Mongolia,0,0,0
2020-01-31,Mongolia,0,0,0
2020-02-01,Mongolia,0,0,0
2020-02-02,Mongolia,0,0,0
2020-02-03,Mongolia,0,0,0
2020-02-04,Mongolia,0,0,0
2020-02-05,Mongolia,0,0,0
2020-02-06,Mongolia,0,0,0
2020-02-07,Mongolia,0,0,0
2020-02-08,Mongolia,0,0,0
2020-02-09,Mongolia,0,0,0
2020-02-10,Mongolia,0,0,0
2020-02-11,Mongolia,0,0,0
2020-02-12,Mongolia,0,0,0
2020-02-13,Mongolia,0,0,0
2020-02-14,Mongolia,0,0,0
2020-02-15,Mongolia,0,0,0
2020-02-16,Mongolia,0,0,0
2020-02-17,Mongolia,0,0,0
2020-02-18,Mongolia,0,0,0
2020-02-19,Mongolia,0,0,0
2020-02-20,Mongolia,0,0,0
2020-02-21,Mongolia,0,0,0
2020-02-22,Mongolia,0,0,0
2020-02-23,Mongolia,0,0,0
2020-02-24,Mongolia,0,0,0
2020-02-25,Mongolia,0,0,0
2020-02-26,Mongolia,0,0,0
2020-02-27,Mongolia,0,0,0
2020-02-28,Mongolia,0,0,0
2020-02-29,Mongolia,0,0,0
2020-03-01,Mongolia,0,0,0
2020-03-02,Mongolia,0,0,0
2020-03-03,Mongolia,0,0,0
2020-03-04,Mongolia,0,0,0
2020-03-05,Mongolia,0,0,0
2020-03-06,Mongolia,0,0,0
2020-03-07,Mongolia,0,0,0
2020-03-08,Mongolia,0,0,0
2020-03-09,Mongolia,0,0,0
2020-03-10,Mongolia,1,0,0
2020-03-11,Mongolia,1,0,0
2020-03-12,Mongolia,1,0,0
2020-03-13,Mongolia,1,0,0
2020-03-14,Mongolia,1,0,0
2020-03-15,Mongolia,1,0,0
2020-03-16,Mongolia,1,0,0
2020-03-17,Mongolia,5,0,0
2020-03-18,Mongolia,6,0,0
2020-03-19,Mongolia,6,0,0
2020-03-20,Mongolia,6,0,0
2020-03-21,Mongolia,10,0,0
2020-03-22,Mongolia,10,0,0
2020-03-23,Mongolia,10,0,0
2020-03-24,Mongolia,10,0,0
2020-03-25,Mongolia,10,0,0
2020-03-26,Mongolia,11,0,0
2020-03-27,Mongolia,11,0,0
2020-03-28,Mongolia,12,0,0
2020-03-29,Mongolia,12,0,0
2020-03-30,Mongolia,12,2,0
2020-03-31,Mongolia,12,2,0
2020-04-01,Mongolia,14,2,0
2020-04-02,Mongolia,14,2,0
2020-04-03,Mongolia,14,2,0
2020-04-04,Mongolia,14,2,0
2020-04-05,Mongolia,14,2,0
2020-04-06,Mongolia,15,2,0
2020-04-07,Mongolia,15,4,0
2020-04-08,Mongolia,16,4,0
2020-04-09,Mongolia,16,4,0
2020-04-10,Mongolia,16,4,0
2020-04-11,Mongolia,16,4,0
2020-04-12,Mongolia,16,4,0
2020-04-13,Mongolia,17,4,0
2020-04-14,Mongolia,30,5,0
2020-04-15,Mongolia,30,5,0
2020-04-16,Mongolia,31,5,0
2020-04-17,Mongolia,31,5,0
2020-04-18,Mongolia,31,5,0
2020-04-19,Mongolia,32,7,0
2020-04-20,Mongolia,33,7,0
2020-04-21,Mongolia,34,8,0
2020-04-22,Mongolia,35,8,0
2020-04-23,Mongolia,36,9,0
2020-04-24,Mongolia,37,9,0
2020-04-25,Mongolia,37,9,0
2020-04-26,Mongolia,38,9,0
2020-04-27,Mongolia,38,10,0
2020-04-28,Mongolia,38,10,0
2020-04-29,Mongolia,38,10,0
2020-04-30,Mongolia,38,10,0
2020-05-01,Mongolia,38,10,0
2020-05-02,Mongolia,39,10,0
2020-05-03,Mongolia,39,10,0
2020-05-04,Mongolia,40,12,0
2020-05-05,Mongolia,41,13,0
2020-05-06,Mongolia,41,13,0
2020-05-07,Mongolia,41,13,0
2020-05-08,Mongolia,42,13,0
2020-05-09,Mongolia,42,14,0
2020-05-10,Mongolia,42,14,0
2020-05-11,Mongolia,42,14,0
2020-05-12,Mongolia,42,15,0
2020-05-13,Mongolia,42,15,0
2020-05-14,Mongolia,98,15,0
2020-05-15,Mongolia,98,20,0
2020-05-16,Mongolia,135,20,0
2020-05-17,Mongolia,136,21,0
2020-05-18,Mongolia,140,24,0
2020-05-19,Mongolia,140,26,0
2020-05-20,Mongolia,140,26,0
2020-05-21,Mongolia,140,26,0
2020-05-22,Mongolia,141,28,0
2020-05-23,Mongolia,141,30,0
2020-05-24,Mongolia,141,32,0
2020-05-25,Mongolia,141,33,0
