Date,Country,Confirmed,Recovered,Deaths
2020-01-22,Trinidad and Tobago,0,0,0
2020-01-23,Trinidad and Tobago,0,0,0
2020-01-24,Trinidad and Tobago,0,0,0
2020-01-25,Trinidad and Tobago,0,0,0
2020-01-26,Trinidad and Tobago,0,0,0
2020-01-27,Trinidad and Tobago,0,0,0
2020-01-28,Trinidad and Tobago,0,0,0
2020-01-29,Trinidad and Tobago,0,0,0
2020-01-30,Trinidad and Tobago,0,0,0
2020-01-31,Trinidad and Tobago,0,0,0
2020-02-01,Trinidad and Tobago,0,0,0
2020-02-02,Trinidad and Tobago,0,0,0
2020-02-03,Trinidad and Tobago,0,0,0
2020-02-04,Trinidad and Tobago,0,0,0
2020-02-05,Trinidad and Tobago,0,0,0
2020-02-06,Trinidad and Tobago,0,0,0
2020-02-07,Trinidad and Tobago,0,0,0
2020-02-08,Trinidad and Tobago,0,0,0
2020-02-09,Trinidad and Tobago,0,0,0
2020-02-10,Trinidad and Tobago,0,0,0
2020-02-11,Trinidad and Tobago,0,0,0
2020-02-12,Trinidad and Tobago,0,0,0
2020-02-13,Trinidad and Tobago,0,0,0
2020-02-14,Trinidad and Tobago,0,0,0
2020-02-15,Trinidad and Tobago,0,0,0
2020-02-16,Trinidad and Tobago,0,0,0
2020-02-17,Trinidad and Tobago,0,0,0
2020-02-18,Trinidad and Tobago,0,0,0
2020-02-19,Trinidad and Tobago,0,0,0
2020-02-20,Trinidad and Tobago,0,0,0
2020-02-21,Trinidad and Tobago,0,0,0
2020-02-22,Trinidad and Tobago,0,0,0
2020-02-23,Trinidad and Tobago,0,0,0
2020-02-24,Trinidad and Tobago,0,0,0
2020-02-25,Trinidad and Tobago,0,0,0
2020-02-26,Trinidad and Tobago,0,0,0
2020-02-27,Trinidad and Tobago,0,0,0
2020-02-28,Trinidad and Tobago,0,0,0
2020-02-29,Trinidad and Tobago,0,0,0
2020-03-01,Trinidad and Tobago,0,0,0
2020-03-02,Trinidad and Tobago,0,0,0
2020-03-03,Trinidad and Tobago,0,0,0
2020-03-04,Trinidad and Tobago,0,0,0
2020-03-05,Trinidad and Tobago,0,0,0
2020-03-06,Trinidad and Tobago,0,0,0
2020-03-07,Trinidad and Tobago,0,0,0
2020-03-08,Trinidad and Tobago,0,0,0
2020-03-09,Trinidad and Tobago,0,0,0
2020-03-10,Trinidad and Tobago,0,0,0
2020-03-11,Trinidad and Tobago,0,0,0
2020-03-12,Trinidad and Tobago,0,0,0
2020-03-13,Trinidad and Tobago,0,0,0
2020-03-14,Trinidad and Tobago,2,0,0
2020-03-15,Trinidad and Tobago,2,0,0
2020-03-16,Trinidad and Tobago,4,0,0
2020-03-17,Trinidad and Tobago,5,0,0
2020-03-18,Trinidad and Tobago,7,0,0
2020-03-19,Trinidad and Tobago,9,0,0
2020-03-20,Trinidad and Tobago,9,0,0
2020-03-21,Trinidad and Tobago,49,1,0
2020-03-22,Trinidad and Tobago,50,1,0
2020-03-23,Trinidad and Tobago,51,1,0
2020-03-24,Trinidad and Tobago,57,0,0
2020-03-25,Trinidad and Tobago,60,0,1
2020-03-26,Trinidad and Tobago,65,0,1
2020-03-27,Trinidad and Tobago,66,1,2
2020-03-28,Trinidad and Tobago,74,1,3
2020-03-29,Trinidad and Tobago,78,1,3
2020-03-30,Trinidad and Tobago,82,1,3
2020-03-31,Trinidad and Tobago,87,1,3
2020-04-01,Trinidad and Tobago,90,1,5
2020-04-02,Trinidad and Tobago,94,1,5
2020-04-03,Trinidad and Tobago,98,1,6
2020-04-04,Trinidad and Tobago,103,1,6
2020-04-05,Trinidad and Tobago,104,1,7
2020-04-06,Trinidad and Tobago,105,1,8
2020-04-07,Trinidad and Tobago,107,1,8
2020-04-08,Trinidad and Tobago,107,1,8
2020-04-09,Trinidad and Tobago,109,1,8
2020-04-10,Trinidad and Tobago,109,1,8
2020-04-11,Trinidad and Tobago,112,12,8
2020-04-12,Trinidad and Tobago,113,16,8
2020-04-13,Trinidad and Tobago,113,16,8
2020-04-14,Trinidad and Tobago,113,17,8
2020-04-15,Trinidad and Tobago,114,19,8
2020-04-16,Trinidad and Tobago,114,20,8
2020-04-17,Trinidad and Tobago,114,20,8
2020-04-18,Trinidad and Tobago,114,21,8
2020-04-19,Trinidad and Tobago,114,21,8
2020-04-20,Trinidad and Tobago,114,22,8
2020-04-21,Trinidad and Tobago,115,28,8
2020-04-22,Trinidad and Tobago,115,37,8
2020-04-23,Trinidad and Tobago,115,48,8
2020-04-24,Trinidad and Tobago,115,48,8
2020-04-25,Trinidad and Tobago,115,53,8
2020-04-26,Trinidad and Tobago,115,54,8
2020-04-27,Trinidad and Tobago,116,59,8
2020-04-28,Trinidad and Tobago,116,59,8
2020-04-29,Trinidad and Tobago,116,71,8
2020-04-30,Trinidad and Tobago,116,72,8
2020-05-01,Trinidad and Tobago,116,83,8
2020-05-02,Trinidad and Tobago,116,88,8
2020-05-03,Trinidad and Tobago,116,93,8
2020-05-04,Trinidad and Tobago,116,99,8
2020-05-05,Trinidad and Tobago,116,103,8
2020-05-06,Trinidad and Tobago,116,103,8
2020-05-07,Trinidad and Tobago,116,103,8
2020-05-08,Trinidad and Tobago,116,103,8
2020-05-09,Trinidad and Tobago,116,104,8
2020-05-10,Trinidad and Tobago,116,107,8
2020-05-11,Trinidad and Tobago,116,107,8
2020-05-12,Trinidad and Tobago,116,107,8
2020-05-13,Trinidad and Tobago,116,107,8
2020-05-14,Trinidad and Tobago,116,107,8
2020-05-15,Trinidad and Tobago,116,107,8
2020-05-16,Trinidad and Tobago,116,107,8
2020-05-17,Trinidad and Tobago,116,107,8
2020-05-18,Trinidad and Tobago,116,107,8
2020-05-19,Trinidad and Tobago,116,107,8
2020-05-20,Trinidad and Tobago,116,107,8
2020-05-21,Trinidad and Tobago,116,108,8
